title,reviews,reviews_clean,cleaned_review,combined_text,neg,neu,pos,compound,satisfied,review_length,word_count,char_count,avg_word_length,exclamation_count,question_count,uppercase_ratio,cleaned_word_count,cleaned_char_count
"""unprofessional attitude of the pilots""","BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for.","BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for.",appreciate unprofessional attitude pilot schedule departure advise boarding time whole full passenger wait gate board cabin crew board pilots board sao paulo airport duty free brand shopping bag boarding finally push back minute late captain come intercom announce delay due traffic crew hotel airport sorry captain whole plane see pilot colleague board fifteen minute cabin crew clutch duty free pilot colleague make time stop,"unprofessional attitude of the pilots. BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for.",0.08,0.854,0.066,-0.0145,0,730,118,695,5.889830508474576,0,0,0.0234680573663624,64,427
“Next time it will be Jet2”,"Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2.","Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2.",great experience check online separate part computer system talk lhr delightful check clerk sort quickly manually board time luggage loading halt captain spot technical issue engineer call time sort miss slot take hour behind schedule uneventful plane clearly see well day legroom appal handout small bottle water soggy cookie make wish day mean something special next time,"Next time it will be Jet2. Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2.",0.056,0.827,0.117,0.8749,1,652,129,664,5.147286821705427,1,0,0.0265486725663716,57,373
“become the Ryanair of long-haul travel”,"I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids.","I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids.",excited travel long haul travel australia many occasion pretty travelled terrible experience become ryanair longhaul travel rid previous good name reputation delay terminal offer glass water last minute meal additional drink offer charge point outdate not work family five travel entertainment outdate movie available poor compare food atrocious lhrhongkong return cathay hkaustralia return comparison vast offer pre meal drink snack drink meal menu know choice quality food vastly well cathay luggage lose nearly hour hong kong arrive london bag badly damage unusable redeem part crew return amazing severine angel help make journey pleasant kid,"become the Ryanair of long-haul travel. I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids.",0.077,0.837,0.086,0.477,1,1235,224,1233,5.504464285714286,0,0,0.0274725274725274,94,646
“They never help us”,"I just want to warn everyone of the worst customer service experience ever! It really looks like British Airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. Last week we called British Airways to make a reservation for the family. At the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from American Express. The representative told us that he could not make the reservation until the miles were in the account, and asked us to contact American Express and make the transfer so that the booking could be made. The conversation was recorded by British Airways and could be checked. We immediately called AMEX (within 30 minutes) and solicited the transfer of 500K miles. AMEX clearly stated to us whether we were sure as the transfer was not reversible. We said that it was fine since we had checked previously with British Airways. We then called British Airways immediately to make our reservation to Miami. They confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to Miami) and that we could not use the miles. We explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. We called the German office, which was absolutely unhelpful, so we also called UK customer service which was just as unhelpful. No manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). In the end British Airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to Miami. With this service to their customers this is a company that should not be in business. Every time we call they made us wait for over 45 minutes then they answer and put us on hold, I have 2 days of waiting and talking with British Airways for over 2 hours each day, we were on the line for over 45 minutes each time. We were told by the lady agent to hang up the phone as I was too long on the phone and she had other customers? And we are not customers? They never help us.","I just want to warn everyone of the worst customer service experience ever! It really looks like British Airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. Last week we called British Airways to make a reservation for the family. At the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from American Express. The representative told us that he could not make the reservation until the miles were in the account, and asked us to contact American Express and make the transfer so that the booking could be made. The conversation was recorded by British Airways and could be checked. We immediately called AMEX (within 30 minutes) and solicited the transfer of 500K miles. AMEX clearly stated to us whether we were sure as the transfer was not reversible. We said that it was fine since we had checked previously with British Airways. We then called British Airways immediately to make our reservation to Miami. They confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to Miami) and that we could not use the miles. We explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. We called the German office, which was absolutely unhelpful, so we also called UK customer service which was just as unhelpful. No manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). In the end British Airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to Miami. With this service to their customers this is a company that should not be in business. Every time we call they made us wait for over 45 minutes then they answer and put us on hold, I have 2 days of waiting and talking with British Airways for over 2 hours each day, we were on the line for over 45 minutes each time. We were told by the lady agent to hang up the phone as I was too long on the phone and she had other customers? And we are not customers? They never help us.",want warn everyone bad customer service experience ever look like customer service phone train help anyway create problem solve last week call make reservation family time explain customer service representative want make booking pay transfer mile american express representative tell make reservation mile account ask contact american express make transfer booking make conversation record check immediately call amex within minute solicit transfer mile amex clearly state whether sure transfer reversible say fine since checked previously call immediately make reservation miami confirm mile arrive account surprise tell space seat miami use mile explain situation lead believe mile transfer mile go deaf ear call german office absolutely unhelpful call uk customer service unhelpful manager able open mile keep repeat possible though pay seat seat available gold status end take absolutely responsibility cause problem give solution keep mile pay trip miami service customer company business every time call make wait minute answer put hold day wait talk hour day line minute time tell lady agent hang phone long phone customer customer never help,"They never help us. I just want to warn everyone of the worst customer service experience ever! It really looks like British Airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. Last week we called British Airways to make a reservation for the family. At the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from American Express. The representative told us that he could not make the reservation until the miles were in the account, and asked us to contact American Express and make the transfer so that the booking could be made. The conversation was recorded by British Airways and could be checked. We immediately called AMEX (within 30 minutes) and solicited the transfer of 500K miles. AMEX clearly stated to us whether we were sure as the transfer was not reversible. We said that it was fine since we had checked previously with British Airways. We then called British Airways immediately to make our reservation to Miami. They confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to Miami) and that we could not use the miles. We explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. We called the German office, which was absolutely unhelpful, so we also called UK customer service which was just as unhelpful. No manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). In the end British Airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to Miami. With this service to their customers this is a company that should not be in business. Every time we call they made us wait for over 45 minutes then they answer and put us on hold, I have 2 days of waiting and talking with British Airways for over 2 hours each day, we were on the line for over 45 minutes each time. We were told by the lady agent to hang up the phone as I was too long on the phone and she had other customers? And we are not customers? They never help us.",0.058,0.906,0.035,-0.8989,0,2413,447,2379,5.322147651006712,1,2,0.0226244343891402,170,1150
“uncomfortable seat and disgusting food”,"Paid for business class travelling Cairo to London Heathrow but all I got was an economy seat. Only difference from economy is middle seat was vacant. Couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. Put in a formal complaint 3 days ago and had no reply. BA's account on X is hacked. Got approached by scammers after posting there and even after flagging this to BA nothing done about it. Just disgusting. Avoid.","Paid for business class travelling Cairo to London Heathrow but all I got was an economy seat. Only difference from economy is middle seat was vacant. Couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. Put in a formal complaint 3 days ago and had no reply. BA's account on X is hacked. Got approached by scammers after posting there and even after flagging this to BA nothing done about it. Just disgusting. Avoid.",pay business class travel cairo london heathrow economy seat difference economy middle seat vacant not recline entertainment uncomfortable seat disgust food put formal complaint day ago reply bas account hack approach scammer post flag nothing do disgusting avoid,"uncomfortable seat and disgusting food. Paid for business class travelling Cairo to London Heathrow but all I got was an economy seat. Only difference from economy is middle seat was vacant. Couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. Put in a formal complaint 3 days ago and had no reply. BA's account on X is hacked. Got approached by scammers after posting there and even after flagging this to BA nothing done about it. Just disgusting. Avoid.",0.266,0.71,0.024,-0.9746,0,461,82,482,5.878048780487805,0,0,0.032064128256513,38,263
"""Zero customer service""",The plane was extremely dirty with chocolate smudged all over mine and my children's seats. I had to wipe down all the seats. After we landed I immediately realized I left my camera with it's bag in the airplane overhead cabin. They would not let me back on the plane for security reasons so I went to The British Airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. Now it's been over 3 weeks with no sign of my camera so it is assumed stolen. I have complained to British Airways and all I get is an automated/generic response to keep checking with Lost Property. Zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed.,The plane was extremely dirty with chocolate smudged all over mine and my children's seats. I had to wipe down all the seats. After we landed I immediately realized I left my camera with it's bag in the airplane overhead cabin. They would not let me back on the plane for security reasons so I went to The British Airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. Now it's been over 3 weeks with no sign of my camera so it is assumed stolen. I have complained to British Airways and all I get is an automated/generic response to keep checking with Lost Property. Zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed.,plane extremely dirty chocolate smudge mine children seat wipe seat land immediately realize left camera bag airplane overhead cabin let back plane security reason go team ground refuse contact cabin crew throw massive fuss manager reluctantly agree point cabin crew disembark week sign camera assume steal complain automatedgeneric response keep check lose property zero customer service regular customer mitigate willing help beginning disappoint,Zero customer service. The plane was extremely dirty with chocolate smudged all over mine and my children's seats. I had to wipe down all the seats. After we landed I immediately realized I left my camera with it's bag in the airplane overhead cabin. They would not let me back on the plane for security reasons so I went to The British Airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. Now it's been over 3 weeks with no sign of my camera so it is assumed stolen. I have complained to British Airways and all I get is an automated/generic response to keep checking with Lost Property. Zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed.,0.117,0.842,0.041,-0.9079,0,861,156,864,5.538461538461538,0,0,0.0215419501133786,63,448
"""baggage arrival nearly took 1.5 hours""","Overall journey wasn’t bad however at the end, the baggage arrival nearly took 1.5 hours (more than actual flight time). Baggage of other flights arriving after had been delivered whereas the baggage staff on airport had no clue and information as to why baggage of this flight hasn’t arrived. They raised their hands saying they can’t do anything further. Poor communication and no customer facing skills.","Overall journey wasn't bad however at the end, the baggage arrival nearly took 1.5 hours (more than actual flight time). Baggage of other flights arriving after had been delivered whereas the baggage staff on airport had no clue and information as to why baggage of this flight hasn't arrived. They raised their hands saying they can't do anything further. Poor communication and no customer facing skills.",overall journey not bad however end baggage arrival nearly take hour actual time baggage arrive deliver whereas baggage staff airport clue information baggage not arrive raise hand say can not anything poor communication customer face skill,"baggage arrival nearly took 1.5 hours. Overall journey wasn't bad however at the end, the baggage arrival nearly took 1.5 hours (more than actual flight time). Baggage of other flights arriving after had been delivered whereas the baggage staff on airport had no clue and information as to why baggage of this flight hasn't arrived. They raised their hands saying they can't do anything further. Poor communication and no customer facing skills.",0.096,0.868,0.036,-0.5647,0,407,70,426,6.085714285714285,0,0,0.0089887640449438,36,240
"""Overall very satisfied""","Overall very satisfied. Ground staff member at YVR was extremely helpful & courteous. A350 was only a few months old, so seats were in good order & comfortable by the standards of a modern day Y class seat, although the very small washroom was already starting to look a bit shabby. Cabin crew very friendly & professional, & meal service carried out at reasonable time in the flight. Choice of 2 options for the main meal which was the same for both legs of my journey 1 month apart. Flight departed on time but unfortunately upon landing at LHR we were unable to deplane for quite some time due to a staffing issue at LHR which so not the fault of the airline, and we were given frequent updates on the situation from the flight manager & the flight deck.","Overall very satisfied. Ground staff member at YVR was extremely helpful & courteous. A350 was only a few months old, so seats were in good order & comfortable by the standards of a modern day Y class seat, although the very small washroom was already starting to look a bit shabby. Cabin crew very friendly & professional, & meal service carried out at reasonable time in the flight. Choice of 2 options for the main meal which was the same for both legs of my journey 1 month apart. Flight departed on time but unfortunately upon landing at LHR we were unable to deplane for quite some time due to a staffing issue at LHR which so not the fault of the airline, and we were given frequent updates on the situation from the flight manager & the flight deck.",overall satisfied ground staff member yvr extremely helpful courteous month old seat good order comfortable standard modern day class seat although small washroom already start look bit shabby cabin crew friendly professional meal service carry reasonable time choice option main meal leg journey month apart depart time unfortunately upon land lhr unable deplane time due staff issue lhr fault give frequent update situation manager deck,"Overall very satisfied. Overall very satisfied. Ground staff member at YVR was extremely helpful & courteous. A350 was only a few months old, so seats were in good order & comfortable by the standards of a modern day Y class seat, although the very small washroom was already starting to look a bit shabby. Cabin crew very friendly & professional, & meal service carried out at reasonable time in the flight. Choice of 2 options for the main meal which was the same for both legs of my journey 1 month apart. Flight departed on time but unfortunately upon landing at LHR we were unable to deplane for quite some time due to a staffing issue at LHR which so not the fault of the airline, and we were given frequent updates on the situation from the flight manager & the flight deck.",0.02,0.864,0.116,0.899,1,759,136,753,5.536764705882353,0,0,0.0217669654289372,65,438
"""airline is a total disgrace""","As always when I fly BA it was a total shambles. I was booked Manchester - London - Madrid , BA first leg and Iberia 2nd, I try wherever possible to avoid BA, however the Manchester - London was late, however I ran for my IB flight and got to B gates just as boarding started, being Group 1 I went to board and the gate sounded an alarm, BA had removed me from the IB flight to a BA flight 3 hours later! As BA had reissued the ticket IB could not put me back on the flight, so 3 hours wasted because of BA’s total incompetence. This airline is a total disgrace, the crew were not nice, typical BA crew oh im so fabulous I don't need to be nice to paying passengers, club europe cramped and terrible food!","As always when I fly BA it was a total shambles. I was booked Manchester - London - Madrid , BA first leg and Iberia 2nd, I try wherever possible to avoid BA, however the Manchester - London was late, however I ran for my IB flight and got to B gates just as boarding started, being Group 1 I went to board and the gate sounded an alarm, BA had removed me from the IB flight to a BA flight 3 hours later! As BA had reissued the ticket IB could not put me back on the flight, so 3 hours wasted because of BA's total incompetence. This airline is a total disgrace, the crew were not nice, typical BA crew oh im so fabulous I don't need to be nice to paying passengers, club europe cramped and terrible food!",always total shamble book manchester london madrid leg iberia try wherever possible avoid however manchester london late however run ib gates boarding start group go board gate sound alarm remove ib hour later reissue ticket ib put back hour waste bas total incompetence total disgrace crew nice typical crew oh fabulous not need nice pay passenger club europe cramp terrible food,"airline is a total disgrace. As always when I fly BA it was a total shambles. I was booked Manchester - London - Madrid , BA first leg and Iberia 2nd, I try wherever possible to avoid BA, however the Manchester - London was late, however I ran for my IB flight and got to B gates just as boarding started, being Group 1 I went to board and the gate sounded an alarm, BA had removed me from the IB flight to a BA flight 3 hours later! As BA had reissued the ticket IB could not put me back on the flight, so 3 hours wasted because of BA's total incompetence. This airline is a total disgrace, the crew were not nice, typical BA crew oh im so fabulous I don't need to be nice to paying passengers, club europe cramped and terrible food!",0.147,0.81,0.043,-0.9476,0,708,139,703,5.057553956834532,2,0,0.053133514986376,61,380
"""we were pleased with the service""",First time using BA business class but we were pleased with the service received. No one was waiting at check in/bag drop and through security in 2 minutes. We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer. Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger b/c cabin behind that had about 30 seats. Again food and drinks were plenty full and good quality. Service from the cabin crew was excellent and the cabin manager (Lauren) even made up a birthday card when she found out it was my wife’s special birthday. Departed early and arrived at JFK early as well. The only thing that I disliked was paying £117 each to select our seats and no free wi-fi.,First time using BA business class but we were pleased with the service received. No one was waiting at check in/bag drop and through security in 2 minutes. We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer. Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger b/c cabin behind that had about 30 seats. Again food and drinks were plenty full and good quality. Service from the cabin crew was excellent and the cabin manager (Lauren) even made up a birthday card when she found out it was my wife's special birthday. Departed early and arrived at JFK early as well. The only thing that I disliked was paying £117 each to select our seats and no free wi-fi.,time use business class pleased service receive wait check inbag drop security minute use lounge gate area find quiet plenty food drink offer boarding quick cabin layout seat although large bc cabin behind seat food drink plenty full good quality service cabin crew excellent cabin manager lauren make birthday card find wife special birthday depart early arrive jfk early thing dislike pay select seat free wifi,we were pleased with the service. First time using BA business class but we were pleased with the service received. No one was waiting at check in/bag drop and through security in 2 minutes. We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer. Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger b/c cabin behind that had about 30 seats. Again food and drinks were plenty full and good quality. Service from the cabin crew was excellent and the cabin manager (Lauren) even made up a birthday card when she found out it was my wife's special birthday. Departed early and arrived at JFK early as well. The only thing that I disliked was paying £117 each to select our seats and no free wi-fi.,0.073,0.788,0.139,0.909,1,750,143,751,5.251748251748252,0,0,0.0191815856777493,66,412
